id,date,timestamp,latitude,longitude,depth,size,location,afad_id,attribute
1,2023-02-07 17:56:23,1675792583,38.054,36.478,7.04,"{'md': 0, 'ml': 2.6, 'mw': 0}",Göksun (Kahramanmaraş),544108,ML
2,2023-02-07 17:39:49,1675791589,38.05,36.495,7.01,"{'md': 0, 'ml': 2.8, 'mw': 0}",Göksun (Kahramanmaraş),544107,ML
3,2023-02-07 17:39:07,1675791547,38.578,37.487,7.0,"{'md': 0, 'ml': 2.5, 'mw': 0}",Darende (Malatya),544106,ML
4,2023-02-07 17:35:32,1675791332,38.218,38.033,6.92,"{'md': 0, 'ml': 3.7, 'mw': 0}",Yeşilyurt (Malatya),544105,ML
5,2023-02-07 17:34:45,1675791285,37.904,36.623,7.03,"{'md': 0, 'ml': 3.9, 'mw': 0}",Onikişubat (Kahramanmaraş),544104,ML
6,2023-02-07 17:33:43,1675791223,37.758,37.559,7.0,"{'md': 0, 'ml': 3.2, 'mw': 0}",Gölbaşı (Adıyaman),544102,ML
7,2023-02-07 17:24:44,1675790684,37.979,36.563,7.02,"{'md': 0, 'ml': 0, 'mw': 3.7}",Göksun (Kahramanmaraş),544097,MW
8,2023-02-07 17:23:16,1675790596,38.043,36.568,5.05,"{'md': 0, 'ml': 0, 'mw': 4.2}",Göksun (Kahramanmaraş),544096,MW
9,2023-02-07 17:17:13,1675790233,38.069,36.63,5.37,"{'md': 0, 'ml': 2.8, 'mw': 0}",Göksun (Kahramanmaraş),544100,ML
10,2023-02-07 17:12:37,1675789957,38.051,36.529,7.0,"{'md': 0, 'ml': 2.7, 'mw': 0}",Göksun (Kahramanmaraş),544101,ML
11,2023-02-07 17:08:25,1675789705,37.75,37.202,7.0,"{'md': 0, 'ml': 3.0, 'mw': 0}",Çağlayancerit (Kahramanmaraş),544093,ML
12,2023-02-07 17:03:18,1675789398,36.908,36.623,7.0,"{'md': 0, 'ml': 2.9, 'mw': 0}",İslahiye (Gaziantep),544094,ML
13,2023-02-07 17:00:21,1675789221,37.35,36.72,7.09,"{'md': 0, 'ml': 2.9, 'mw': 0}",Türkoğlu (Kahramanmaraş),544098,ML
14,2023-02-07 16:59:45,1675789185,38.819,37.387,7.01,"{'md': 0, 'ml': 2.9, 'mw': 0}",Gürün (Sivas),544103,ML
15,2023-02-07 16:56:02,1675788962,36.289,36.384,7.04,"{'md': 0, 'ml': 4.0, 'mw': 0}",Reyhanlı (Hatay),544090,ML
16,2023-02-07 16:51:53,1675788713,36.977,36.219,7.0,"{'md': 0, 'ml': 3.5, 'mw': 0}",Erzin (Hatay),544091,ML
17,2023-02-07 16:46:49,1675788409,37.784,37.157,7.0,"{'md': 0, 'ml': 3.1, 'mw': 0}",Dulkadiroğlu (Kahramanmaraş),544089,ML
18,2023-02-07 16:36:40,1675787800,36.135,35.797,13.07,"{'md': 0, 'ml': 4.5, 'mw': 0}",Akdeniz - [12.42 km] Samandağ (Hatay),544087,ML
19,2023-02-07 16:35:47,1675787747,37.986,36.536,6.86,"{'md': 0, 'ml': 3.7, 'mw': 0}",Göksun (Kahramanmaraş),544086,ML
20,2023-02-07 16:34:09,1675787649,38.109,36.551,23.0,"{'md': 0, 'ml': 4.1, 'mw': 0}",Göksun (Kahramanmaraş),544084,ML
21,2023-02-07 16:27:24,1675787244,37.344,36.836,2.29,"{'md': 0, 'ml': 3.0, 'mw': 0}",Türkoğlu (Kahramanmaraş),544095,ML
22,2023-02-07 16:25:57,1675787157,38.086,36.586,6.35,"{'md': 0, 'ml': 3.1, 'mw': 0}",Göksun (Kahramanmaraş),544092,ML
23,2023-02-07 16:17:34,1675786654,37.82,37.871,7.0,"{'md': 0, 'ml': 3.4, 'mw': 0}",Tut (Adıyaman),544088,ML
24,2023-02-07 16:16:06,1675786566,37.308,36.854,7.0,"{'md': 0, 'ml': 2.3, 'mw': 0}",Türkoğlu (Kahramanmaraş),544099,ML
25,2023-02-07 16:12:12,1675786332,37.264,36.717,6.72,"{'md': 0, 'ml': 2.7, 'mw': 0}",Türkoğlu (Kahramanmaraş),544082,ML
26,2023-02-07 16:12:12,1675786332,37.257,36.729,6.57,"{'md': 0, 'ml': 2.7, 'mw': 0}",Türkoğlu (Kahramanmaraş),544085,ML
27,2023-02-07 16:08:48,1675786128,37.981,36.488,7.07,"{'md': 0, 'ml': 3.4, 'mw': 0}",Göksun (Kahramanmaraş),544081,ML
28,2023-02-07 16:06:59,1675786019,37.708,37.494,7.0,"{'md': 0, 'ml': 2.5, 'mw': 0}",Gölbaşı (Adıyaman),544080,ML
