id,date,timestamp,latitude,longitude,depth,size,location,attribute
1,2023.02.07 02:48:34,1675738114,38.0782,37.3888,24.2,"{'md': 0.0, 'ml': 3.0, 'mw': 0.0}",AGCASAR-NURHAK (KAHRAMANMARAS),İlksel
2,2023.02.07 02:45:42,1675737942,38.1005,37.178,2.4,"{'md': 0.0, 'ml': 3.3, 'mw': 0.0}",GUPLUCE-ELBISTAN (KAHRAMANMARAS),İlksel
6,2023.02.07 02:36:23,1675737383,38.242,37.2323,5.0,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",AKOREN-ELBISTAN (KAHRAMANMARAS),İlksel
11,2023.02.07 02:21:07,1675736467,38.2685,37.1463,2.3,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",AGLICA-ELBISTAN (KAHRAMANMARAS),İlksel
13,2023.02.07 02:17:11,1675736231,38.0518,36.558,5.0,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",TEMURAGA-GOKSUN (KAHRAMANMARAS),İlksel
14,2023.02.07 02:14:42,1675736082,37.6002,37.3545,5.0,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",KARAAGAC-PAZARCIK (KAHRAMANMARAS),İlksel
15,2023.02.07 02:13:29,1675736009,38.026,37.3847,6.5,"{'md': 0.0, 'ml': 4.3, 'mw': 0.0}",BARIS-NURHAK (KAHRAMANMARAS),İlksel
16,2023.02.07 02:12:56,1675735976,37.486,37.0078,16.9,"{'md': 0.0, 'ml': 3.0, 'mw': 0.0}",GUZELYURT-(KAHRAMANMARAS),İlksel
17,2023.02.07 02:11:38,1675735898,38.1047,37.1343,12.4,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",ORTAOREN-EKINOZU (KAHRAMANMARAS),İlksel
20,2023.02.07 02:05:53,1675735553,38.2733,37.4833,20.5,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",YALAKKOY-ELBISTAN (KAHRAMANMARAS),İlksel
21,2023.02.07 02:05:24,1675735524,38.1157,37.3993,5.0,"{'md': 0.0, 'ml': 2.9, 'mw': 0.0}",BAKIS-ELBISTAN (KAHRAMANMARAS),İlksel
