id,date,timestamp,latitude,longitude,depth,size,location,attribute
1,2023.02.07 17:56:20,1675792580,38.065,36.8313,28.8,"{'md': 0.0, 'ml': 2.4, 'mw': 0.0}",CARDAK-GOKSUN (KAHRAMANMARAS),İlksel
2,2023.02.07 17:55:04,1675792504,39.0373,40.2183,11.4,"{'md': 0.0, 'ml': 2.6, 'mw': 0.0}",YENIKAYA-KARAKOCAN (ELAZIG),İlksel
3,2023.02.07 17:51:34,1675792294,37.399,36.9585,5.5,"{'md': 0.0, 'ml': 2.6, 'mw': 0.0}",PINARHUYUK-TURKOGLU (KAHRAMANMARAS),REVIZE01
4,2023.02.07 17:47:40,1675792060,38.0837,37.2305,27.6,"{'md': 0.0, 'ml': 2.5, 'mw': 0.0}",AKPINAR-EKINOZU (KAHRAMANMARAS),İlksel
5,2023.02.07 17:44:31,1675791871,38.0218,38.3147,2.7,"{'md': 0.0, 'ml': 3.1, 'mw': 0.0}",YESILYAYLA-CELIKHAN (ADIYAMAN),İlksel
6,2023.02.07 17:43:08,1675791788,36.3668,35.5278,12.3,"{'md': 0.0, 'ml': 3.0, 'mw': 0.0}",ISKENDERUN KORFEZI (AKDENIZ),İlksel
7,2023.02.07 17:39:50,1675791590,38.0022,36.3977,5.4,"{'md': 0.0, 'ml': 2.7, 'mw': 0.0}",ACIELMA-GOKSUN (KAHRAMANMARAS),İlksel
8,2023.02.07 17:39:08,1675791548,38.5963,37.3818,5.0,"{'md': 0.0, 'ml': 2.6, 'mw': 0.0}",KURUDERE-DARENDE (MALATYA),İlksel
9,2023.02.07 17:34:46,1675791286,37.8687,36.5137,5.3,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",KUMARLI-(KAHRAMANMARAS),İlksel
10,2023.02.07 17:24:42,1675790682,38.1527,36.8953,7.8,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",ESENCE-AFSIN (KAHRAMANMARAS),İlksel
11,2023.02.07 17:23:16,1675790596,37.9818,36.494,4.6,"{'md': 0.0, 'ml': 4.1, 'mw': 0.0}",KIRECKOY-GOKSUN (KAHRAMANMARAS),İlksel
12,2023.02.07 17:08:31,1675789711,37.5343,37.1202,5.8,"{'md': 0.0, 'ml': 2.9, 'mw': 0.0}",ELMALAR-(KAHRAMANMARAS),İlksel
13,2023.02.07 17:05:59,1675789559,38.1007,37.2095,5.4,"{'md': 0.0, 'ml': 2.9, 'mw': 0.0}",AKPINAR-EKINOZU (KAHRAMANMARAS),İlksel
14,2023.02.07 17:04:43,1675789483,38.4272,37.2575,7.9,"{'md': 0.0, 'ml': 2.3, 'mw': 0.0}",GOKCEK-ELBISTAN (KAHRAMANMARAS),İlksel
15,2023.02.07 17:03:07,1675789387,37.9313,35.8427,7.9,"{'md': 0.0, 'ml': 2.4, 'mw': 0.0}",SUPHANDERE-FEKE (ADANA),İlksel
16,2023.02.07 17:01:25,1675789285,38.2392,38.1558,3.6,"{'md': 0.0, 'ml': 2.7, 'mw': 0.0}",SEYITUSAGI-YESILYURT (MALATYA),İlksel
17,2023.02.07 16:59:44,1675789184,38.7903,37.4272,5.0,"{'md': 0.0, 'ml': 3.0, 'mw': 2.9}",YUVA-GURUN (SIVAS),İlksel
18,2023.02.07 16:56:01,1675788961,36.3795,36.1353,7.9,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",TAHTAKOPRU-(HATAY),İlksel
19,2023.02.07 16:49:24,1675788564,38.4987,38.8337,21.4,"{'md': 0.0, 'ml': 2.7, 'mw': 0.0}",TATLIPAYAM-BASKIL (ELAZIG),İlksel
20,2023.02.07 16:47:56,1675788476,38.1093,37.7023,8.6,"{'md': 0.0, 'ml': 2.5, 'mw': 0.0}",ARMUTALAN-ELBISTAN (KAHRAMANMARAS),İlksel
21,2023.02.07 16:46:11,1675788371,38.8403,37.864,5.0,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",SARIKIZ-HEKIMHAN (MALATYA),İlksel
22,2023.02.07 16:44:02,1675788242,40.843,30.3333,19.9,"{'md': 0.0, 'ml': 1.5, 'mw': 0.0}",NASUHLAR-ADAPAZARI (SAKARYA),İlksel
23,2023.02.07 16:42:32,1675788152,38.2512,38.6915,5.0,"{'md': 0.0, 'ml': 3.4, 'mw': 3.5}",CAYKOY-PUTURGE (MALATYA),İlksel
24,2023.02.07 16:36:44,1675787804,36.0963,35.793,31.3,"{'md': 0.0, 'ml': 4.3, 'mw': 4.3}",MAGARACIK-SAMANDAG (HATAY),İlksel
25,2023.02.07 16:35:48,1675787748,38.0415,36.5705,4.4,"{'md': 0.0, 'ml': 3.5, 'mw': 3.7}",TEMURAGA-GOKSUN (KAHRAMANMARAS),İlksel
26,2023.02.07 16:34:59,1675787699,39.5455,42.47,10.6,"{'md': 0.0, 'ml': 2.5, 'mw': 0.0}",DOSKAYA-TUTAK (AGRI),İlksel
